gen_name,bus_id,bus_name,lat,lon,capacity_mw,bus_voltage_kv,eia860_status,available,ts_column_name,source,state
generator-338851-2860890944,338851,3GURDON.N#_338851,34.060838,-93.086083,5,115.0,Operable,true,,EIA_MMWG_FUZZY,AR
generator-338895-5943511475,338895,2COOP-OFF#_338895,34.97953,-90.80602,1,69.0,Operable,true,,EIA_MMWG_FUZZY,AR
generator-338895-9320751571,338895,2COOP-OFF#_338895,35.03789,-90.80707,1,69.0,Operable,true,,EIA_MMWG_FUZZY,AR
generator-338895-7409589231,338895,2COOP-OFF#_338895,35.039328,-90.825186,1,69.0,Operable,true,,EIA_MMWG_FUZZY,AR
generator-338895-3297146578,338895,2COOP-OFF#_338895,34.984256,-90.78602,4.8,69.0,Proposed,true,,EIA_MMWG_FUZZY,AR
generator-338902-3101137394,338902,2CHERRYVL#_338902,35.372893,-90.770797,4.8,69.0,Proposed,true,,EIA_MMWG_FUZZY,AR
generator-504019-3778676353,504019,EFAYTVL1-2_504019,36.04135,-94.140079,5,13.8,Operable,true,,EIA_MMWG_FUZZY,AR
generator-504081-8872229496,504081,GLENCOE2  2_504081,36.39081,-91.877585,1,69.0,Operable,true,,EIA_MMWG_FUZZY,AR
generator-505415-4381508739,505415,PRG X3 1_505415,36.025675,-90.48805,1.5,13.8,Operable,true,,EIA_MMWG_FUZZY,AR
generator-505513-4560535042,505513,CLK X1 1_505513,35.47056,-93.4464,2.2,12.47,Operable,true,,EIA_MMWG_FUZZY,AR
generator-506938-7203594939,506938,LOWELL 5_506938,36.263575,-94.30998,3,161.0,Proposed,true,,EIA_MMWG_FUZZY,AR
generator-506949-9651870337,506949,SOSPRDL5_506949,36.164296,-94.082269,1,161.0,Operable,true,,EIA_MMWG_FUZZY,AR
generator-506949-9125158959,506949,SOSPRDL5_506949,36.16529,-94.049468,2.9,161.0,Operable,true,,EIA_MMWG_FUZZY,AR
generator-506983-8604069188,506983,GREGGST5_506983,36.082301,-94.067149,5,161.0,Operable,true,,EIA_MMWG_FUZZY,AR
generator-506983-6937528232,506983,GREGGST5_506983,36.004934,-94.020522,1,161.0,Operable,true,,EIA_MMWG_FUZZY,AR
generator-507181-8786948957,507181,WBOONVL1_507181,35.147412,-93.870856,4,12.47,Operable,true,,EIA_MMWG_FUZZY,AR
generator-507181-2850997681,507181,WBOONVL1_507181,35.147412,-93.870856,4,12.47,Operable,true,,EIA_MMWG_FUZZY,AR
generator-507191-4044206804,507191,WALDRON2_507191,34.585883,-94.200354,1,69.0,Operable,true,,EIA_MMWG_FUZZY,AR
generator-507410-1703656759,507410,MIDWAYR2_507410,33.926859,-93.860136,2,69.0,Operable,true,,EIA_MMWG_FUZZY,AR
generator-507426-3565751560,507426,NASHVIL2_507426,33.926582,-93.858865,2.8,69.0,Operable,true,,EIA_MMWG_FUZZY,AR
generator-508082-5555229719,508082,SUGHLWT2_508082,33.518301,-94.027754,1,69.0,Operable,true,,EIA_MMWG_FUZZY,AR
generator-512746-4315225277,512746,SSNORT2_512746,35.966569,-94.398475,2.4,69.0,Operable,true,,EIA_MMWG_FUZZY,AR
generator-515313-3721444772,515313,BRANCH 2_515313,35.306183,-93.925758,5,69.0,Operable,true,,EIA_MMWG_FUZZY,AR
generator-515327-4463358330,515327,HELBERG5_515327,35.510306,-93.834802,1,161.0,Operable,true,,EIA_MMWG_FUZZY,AR
generator-515358-4982235671,515358,SHORTMT5_515358,35.301,-93.734,1.5,161.0,Operable,true,,EIA_MMWG_FUZZY,AR
generator-515423-7117753650,515423,SEMINL4G_515423,35.46715,-93.51517,5,13.8,Operable,true,,EIA_MMWG_FUZZY,AR
generator-515423-5933734488,515423,SEMINL4G_515423,35.467464,-93.515177,10,13.8,Proposed,true,,EIA_MMWG_FUZZY,AR
