gen_name,bus_id,bus_name,lat,lon,capacity_mw,bus_voltage_kv,eia860_status,available,ts_column_name,source,state
generator-235101-6058794971,235101,01BEDNGT,39.531839,-77.887092,50,500.0,Proposed,true,,EIA_MMWG_EXACT,WV
generator-235123-3512110049,235123,01MARLOW_235123,39.589315,-77.835548,5.8,138.0,Proposed,true,,EIA_MMWG_FUZZY,WV
generator-235427-4271747163,235427,01WILLIM_235427,39.155005,-79.443344,11.5,138.0,Proposed,true,,EIA_MMWG_FUZZY,WV
generator-235486-7855923604,235486,01MILLVL,39.263611,-77.833412,96,138.0,Operable,true,,EIA_ONLY,WV
generator-235583-4430867461,235583,01FMRTN1_235583,39.707825,-79.948839,18.9,22.0,Operable,true,,EIA_MMWG_FUZZY,WV
generator-235593-9780080497,235593,01HAMPS2_235593,39.28724,-78.64196,20,138.0,Operable,true,,EIA_MMWG_FUZZY,WV
generator-235710-4215822287,235710,01WYLIE R_235710,40.452683,-80.572554,8.4,138.0,Proposed,true,,EIA_MMWG_FUZZY,WV
generator-237113-7278423737,237113,01C RIVESV_237113,39.539042,-80.094402,5.5,23.0,Operable,true,,EIA_MMWG_FUZZY,WV
