gen_name,bus_id,bus_name,lat,lon,capacity_mw,bus_voltage_kv,eia860_status,available,ts_column_name,source,state
generator-235449-5235185133,235449,01CARLOS,39.641111,-79.011111,40,138.0,Operable,true,,EIA_ONLY,MD
generator-235449-4952764930,235449,01CARLOS,39.599992,-78.890672,54.9,138.0,Proposed,true,,EIA_ONLY,MD
generator-235854-5874546567,235854,01KL_K28_T16_235854,39.4047,-79.29,70,138.0,Operable,true,generator-235854-5874546567,EI_EIA2PF,MD
generator-237314-6113052461,237314,Fairlawn,39.404564,-79.291143,30,23.0,Operable,true,,EIA_MMWG_FUZZY,MD
generator-237512-1617822807,237512,01ROTHROCK_237512,39.254444,-79.467222,40,138.0,Operable,true,generator-237512-1617822807,EI_EIA2PF,MD
generator-237513-5003063662,237513,Roth Rock,39.287222,-79.434444,10,34.5,Operable,true,,EIA_MMWG_FUZZY,MD
