gen_name,bus_id,bus_name,lat,lon,capacity_mw,bus_voltage_kv,eia860_status,available,ts_column_name,source,state
generator-346931-5452198962,346931,4CRAB ORH_346931,37.727245,-88.849036,2,138.0,Operable,true,,EIA_MMWG_FUZZY,IL
generator-346943-838678123,346943,1J800GEN1_346943,38.1699,-88.1869,150,138.0,Operable,true,NO_TS,EI_EIA2PF,IL
generator-347010-7036428904,347010,7HERLEMAN,39.790103,-91.315075,140,345.0,Proposed,true,,EIA_MMWG_FUZZY,IL
generator-347288-5385688087,347288,7IPAVA,40.354122,-90.348186,150,345.0,Proposed,true,,EIA_MMWG_FUZZY,IL
generator-347297-8722684502,347297,4JACKSNVL,39.806053,-90.224433,30,138.0,Operable,true,,EIA_MMWG_FUZZY,IL
generator-347298-3872870621,347298,1GSC-J644-PV_347298,39.133126,-90.366017,110,138.0,Operable,true,generator-347298-3872870621,EI_EIA2PF,IL
generator-347337-6551873518,347337,1HRWF J468_347337,40.0274,-88.04693,2,34.5,Operable,true,,EIA_MMWG_FUZZY,IL
generator-347338-6997552713,347338,7HRWF J468,40.010442,-88.057939,150,345.0,Proposed,true,,EIA_ONLY,IL
generator-347345-5389120299,347345,1J949_GEN1_347345,39.544605,-87.97198,200,138.0,Operable,true,generator-347345-5389120299,EI_EIA2PF,IL
generator-347348-4106366936,347348,4J949-POI_347348,39.540291,-87.976515,2,138.0,Proposed,true,,EIA_MMWG_FUZZY,IL
generator-347349-1377344271,347349,1J949_GEN2_347349,39.55,-87.97,106.0708627475048,0.69,,true,generator-347349-1377344271,EI_MMWG,IL
generator-347401-6202923032,347401,4ARLAND,39.5208,-88.4201,99,138.0,Proposed,true,,EIA_MMWG_FUZZY,IL
generator-347432-1462404596,347432,1J813 GEN1_347432,38.76,-88.51,139.12894264314667,0.6,,true,generator-347432-1462404596,EI_MMWG,IL
generator-347433-7814045785,347433,2J813 PAD1_347433,38.75066,-88.50682,2,34.5,Operable,true,,EIA_MMWG_FUZZY,IL
generator-347463-6075032642,347463,4TANNER,38.648852,-88.514435,125,138.0,Proposed,true,,EIA_ONLY,IL
generator-347489-8998545560,347489,4MACOMBW S_347489,40.469681,-90.641075,2,138.0,Operable,true,,EIA_MMWG_FUZZY,IL
generator-347489-9613541969,347489,4MACOMBW S_347489,40.454,-90.688,2,138.0,Operable,true,,EIA_MMWG_FUZZY,IL
