gen_name,bus_id,bus_name,lat,lon,capacity_mw,bus_voltage_kv,eia860_status,available,ts_column_name,source,state
generator-235519-1558825924,235519,01W WINC_235519,39.201562,-78.213908,1.4,138.0,Operable,true,,EIA_MMWG_FUZZY,VA
generator-237077-8183021276,237077,AC2-174 C_237077,39.06,-78.14,10.164987752083128,138.0,,true,generator-237077-8183021276,EI_MMWG,VA
generator-242544-6364385540,242544,05AXTON,36.671684,-79.686061,201.1,138.0,Proposed,true,,EIA_MMWG_FUZZY,VA
generator-242545-8845562292,242545,05AXTONX,36.667889,-79.755013,66,138.0,Operable,true,,EIA_ONLY,VA
generator-242545-5023631398,242545,05AXTONX,36.687071,-79.709472,20,138.0,Operable,true,,EIA_MMWG_FUZZY,VA
generator-242549-5935209598,242549,05BANSTR_242549,36.85345,-79.469908,2.2,138.0,Operable,true,,EIA_MMWG_FUZZY,VA
generator-242591-8484436450,242591,05CENTERV_MR_242591,37.335046,-79.480995,3,138.0,Operable,true,,EIA_MMWG_FUZZY,VA
generator-242675-3147059315,242675,05HUFFMN,36.790623,-80.727655,150,138.0,Proposed,true,,EIA_MMWG_FUZZY,VA
generator-242721-6636569662,242721,05MORGAN,37.139595,-80.687405,150,138.0,Proposed,true,,EIA_MMWG_FUZZY,VA
generator-242736-9214788318,242736,05OAKLEV_242736,36.782222,-79.947778,5,138.0,Operable,true,,EIA_MMWG_FUZZY,VA
generator-242772-3175938676,242772,05RIVERV_242772,37.553598,-79.017296,4.9,138.0,Operable,true,,EIA_MMWG_FUZZY,VA
generator-242781-6646429181,242781,05RUSTBR_242781,37.276278,-79.116506,15,138.0,Operable,true,,EIA_MMWG_FUZZY,VA
generator-242792-7071067776,242792,05SCOTSV,37.762155,-78.47912,50,138.0,Retired/Canceled,false,,EIA_MMWG_FUZZY,VA
generator-242797-6826880261,242797,05SHEFLD,36.608705,-79.879881,20,138.0,Proposed,true,,EIA_MMWG_FUZZY,VA
generator-242858-8052564518,242858,05WYTHE1,36.964279,-81.049858,20,138.0,Operable,true,,EIA_MMWG_FUZZY,VA
generator-242858-3088739778,242858,05WYTHE1,37.030648,-81.003022,150,138.0,Proposed,true,,EIA_MMWG_FUZZY,VA
generator-243925-6730323520,243925,05PINEY RI,37.696818,-79.023062,50,46.0,Proposed,true,,EIA_MMWG_FUZZY,VA
generator-243995-1523418930,243995,05SOUTHSID,36.660591,-79.29906,6,69.0,Operable,true,,EIA_MMWG_EXACT,VA
generator-244012-7473081736,244012,05PINNACLE_244012,36.727159,-79.506486,5,4.0,Operable,true,,EIA_MMWG_FUZZY,VA
generator-244012-2127512955,244012,05PINNACLE_244012,36.727159,-79.506486,5,4.0,Operable,true,,EIA_MMWG_FUZZY,VA
generator-244013-7809446549,244013,05AIRSIDTP_244013,36.591,-79.302,12,69.0,Operable,true,,EIA_MMWG_FUZZY,VA
generator-244166-7570109671,244166,05GALAX1,36.709453,-80.885078,20,69.0,Proposed,true,,EIA_MMWG_FUZZY,VA
generator-247996-2482737936,247996,05RICH ACRSS_247996,36.616243,-79.849361,18.8,69.0,Proposed,true,,EIA_MMWG_FUZZY,VA
generator-270173-2125316693,270173,AC1-122 GEN_270173,37.148199,-79.347497,80,0.6,Operable,true,NO_TS,EI_EIA2PF,VA
generator-270214-4848829281,270214,AC2-123 GEN_270214,36.876,-80.837,75,138.0,Proposed,true,NO_TS,EI_EIA2PF,VA
generator-313212-3520382995,313212,3MT JACKSON,38.739621,-78.660158,15.7,115.0,Operable,true,,EIA_ONLY,VA
generator-313212-6658861800,313212,3MT JACKSON_313212,38.745097,-78.67523,3.2,115.0,Operable,true,,EIA_MMWG_FUZZY,VA
generator-313506-9144446397,313506,AB1-173 C OP_313506,36.59,-77.65,59.6,115.0,Operable,true,NO_TS,EI_EIA2PF,VA
generator-313527-9431481503,313527,AB2-043 GEN_313527,36.811533,-78.483909,49.9,34.5,Operable,true,NO_TS,EI_EIA2PF,VA
generator-313812-2630120592,313812,6ROCKLANDING_313812,37.09,-76.46,0.99,230.0,,false,NO_TS,EI_MMWG,VA
generator-313817-7870849102,313817,6CLOVER_1,36.875897,-78.741874,83,230.0,Operable,true,,EIA_ONLY,VA
generator-313821-2185295247,313821,6PACIFIC_313821,39.0,-77.44,0.833,230.0,,false,NO_TS,EI_MMWG,VA
generator-313826-4777011854,313826,6HYDRAULIC_313826,38.06,-78.49,0.14,230.0,,false,NO_TS,EI_MMWG,VA
generator-313826-4806696713,313826,6HYDRAULIC_313826,38.06,-78.49,0.224,230.0,,false,NO_TS,EI_MMWG,VA
generator-313828-5901185057,313828,3WHITEMARSH,37.36,-76.53,20,115.0,Operable,true,,EIA_MMWG_FUZZY,VA
generator-313852-2978448722,313852,3WELCOTAP_313852,36.679324,-78.939161,3.1,115.0,Operable,true,,EIA_MMWG_FUZZY,VA
generator-313863-1390331835,313863,6YARDLEY,38.95,-77.5,50,230.0,Proposed,true,,EIA_ONLY,VA
generator-313870-5312012317,313870,3RAPPAHNCK_313870,37.657039,-76.383228,1.5,115.0,Operable,true,,EIA_MMWG_FUZZY,VA
generator-313870-8397667667,313870,3RAPPAHNCK_313870,37.6529,-76.3888,5,115.0,Operable,true,,EIA_MMWG_FUZZY,VA
generator-313870-9591683985,313870,3RAPPAHNCK_313870,37.67491,-76.41144,3,115.0,Proposed,true,,EIA_MMWG_FUZZY,VA
generator-313871-1605333258,313871,3COBBS CREEK_313871,37.88051,-78.049191,5,115.0,Operable,true,,EIA_MMWG_FUZZY,VA
generator-314078-5493517384,314078,3REMNGTN_314078,38.54,-77.78,20.0,115.0,,false,NO_TS,EI_MMWG,VA
generator-314078-9372330992,314078,3REMNGTN,38.548333,-77.776389,20,115.0,Operable,true,,EIA_MMWG_FUZZY,VA
generator-314115-8911689297,314115,3GAINSV1_314115,38.786044,-77.554755,2,115.0,Operable,true,,EIA_MMWG_FUZZY,VA
generator-314119-7171466373,314119,6NOKESVL,38.672,-77.593,20,230.0,Operable,true,,EIA_ONLY,VA
generator-314134-7291813966,314134,6CRANES_314134,38.350511,-77.476191,5,230.0,Proposed,true,,EIA_MMWG_FUZZY,VA
generator-314140-9236211346,314140,6GARSVL_314140,38.467778,-77.455278,1.3,230.0,Operable,true,,EIA_MMWG_FUZZY,VA
generator-314142-9257725463,314142,6STAFORD_314142,38.5,-77.4,1.1,230.0,,false,NO_TS,EI_MMWG,VA
generator-314172-7169370733,314172,6DUNNSVL_314172,37.85,-76.81,20.0,230.0,,false,NO_TS,EI_MMWG,VA
generator-314172-1663034322,314172,6DUNNSVL,37.834094,-76.799967,20,230.0,Operable,true,,EIA_MMWG_FUZZY,VA
generator-314173-5574872997,314173,3GARNER,37.86,-76.56,127,115.0,Operable,true,,EIA_ONLY,VA
generator-314173-6701215160,314173,3GARNER,37.89,-76.54,60,115.0,Proposed,true,,EIA_MMWG_FUZZY,VA
generator-314173-7031992873,314173,3GARNER,37.867194,-76.589869,62,115.0,Proposed,true,,EIA_MMWG_FUZZY,VA
generator-314176-9524721531,314176,6HARMONY_314176,37.58,-76.49,15.0,230.0,,false,NO_TS,EI_MMWG,VA
generator-314176-8927670333,314176,6HARMONY,37.56189,-76.605373,99,230.0,Proposed,true,,EIA_ONLY,VA
generator-314183-5557371504,314183,6SANDERS_314183,37.957975,-76.818828,5,230.0,Operable,true,,EIA_MMWG_FUZZY,VA
