plant,generator ID,technology,energy_source ,prime_mover,lat,lon,nameplate_capacity,ba
"Energix Nokesville, LLC",ENX07,Solar Photovoltaic,SUN,PV,38.672,-77.593,20,PJM
"Energix Buckingham, LLC",ENX05,Solar Photovoltaic,SUN,PV,37.5064,-78.381,20,PJM
Altavista Solar,ATLA,Solar Photovoltaic,SUN,PV,37.148199,-79.3475,80,PJM
Norge Solar Farm,NORG,Solar Photovoltaic,SUN,PV,37.365615,-76.77512,20,PJM
Montross Solar,MOSO,Solar Photovoltaic,SUN,PV,38.077,-76.786,20,PJM
Grassfield Solar,GFSO,Solar Photovoltaic,SUN,PV,36.65,-76.35,20,PJM
Sycamore Solar,SYSO,Solar Photovoltaic,SUN,PV,36.942634,-79.1928,42,PJM
Mechanicsville Solar,MECH,Solar Photovoltaic,SUN,PV,37.665975,-77.20773,25,PJM
Wythe County Solar,GEN1,Solar Photovoltaic,SUN,PV,36.876,-80.837,75,PJM
"Energix Leatherwood, LLC",ENX10,Solar Photovoltaic,SUN,PV,36.687071,-79.70947,20,PJM
Gardy's Mill Solar,GMS,Solar Photovoltaic,SUN,PV,38.006741,-76.60696,14,PJM
Briel Solar Farm,BMS,Solar Photovoltaic,SUN,PV,37.52364,-77.26358,20,PJM
"Energix Aditya, LLC",ENX13,Solar Photovoltaic,SUN,PV,38.017664,-77.95287,11.5,PJM
"Caden Energix Endless Caverns, LLC",ENX16,Solar Photovoltaic,SUN,PV,38.613601,-78.67707,31.4,PJM
Pleasant Hill Solar,PHSPV,Solar Photovoltaic,SUN,PV,36.692197,-76.57856,20,PJM
Watlington Solar,WSPV,Solar Photovoltaic,SUN,PV,36.681547,-78.88596,20,PJM
"Apple Grove Solar, LLC",ENX15,Solar Photovoltaic,SUN,PV,37.919497,-77.86202,18.6,PJM
"Waverly Solar, LLC",ENX17,Solar Photovoltaic,SUN,PV,37.020784,-77.12265,118,PJM
Powells Creek Solar - Hybrid,SOLAR,Solar Photovoltaic,SUN,PV,36.55467,-79.0286,70,PJM
Sunnybrook Solar Project - Hybrid,SUNS,Solar Photovoltaic,SUN,PV,36.798717,-78.83961,51,PJM
Caden Energix Wytheville LLC,ENX19,Solar Photovoltaic,SUN,PV,36.964279,-81.04986,20,PJM
Springfield Solar,SPRG,Solar Photovoltaic,SUN,PV,38.093,-76.799,2,PJM
Quillwort Solar,POWI,Solar Photovoltaic,SUN,PV,37.567,-77.9271,18,PJM
