plant,generator ID,technology,energy_source,prime_mover,lat,lon,nameplate_capacity,ba,EI gen,EI Bus,Capacity Change,Generator Add,Generator twin,prime_mover_1,energy_source ,Column17,Column18,Column19
Radford Army Ammunition Plant,GEN2,Natural Gas Steam Turbine,NG,ST,37.180441,-80.54277,6.0,PJM,,,6.0,yes,no,ST,NG,,,
Radford Army Ammunition Plant,GEN3,Natural Gas Steam Turbine,NG,ST,37.180441,-80.54277,6.0,PJM,,,6.0,yes,no,ST,NG,,,
Celanese Acetate LLC,GEN1,Natural Gas Steam Turbine,NG,ST,37.3439,-80.765,6.0,PJM,,,6.0,yes,no,ST,NG,,,
Celanese Acetate LLC,GEN2,Natural Gas Steam Turbine,NG,ST,37.3439,-80.765,6.0,PJM,,,6.0,yes,no,ST,NG,,,
Celanese Acetate LLC,GEN3,Natural Gas Steam Turbine,NG,ST,37.3439,-80.765,6.0,PJM,,,6.0,yes,no,ST,NG,,,
Celanese Acetate LLC,GEN4,Natural Gas Steam Turbine,NG,ST,37.3439,-80.765,9.2,PJM,,,9.2,yes,no,ST,NG,,,
Elkton,GEN1,Natural Gas Steam Turbine,NG,ST,38.3836,-78.6528,7.2,PJM,,,7.2,yes,no,ST,NG,,,
Elkton,GEN5,Natural Gas Steam Turbine,NG,ST,38.3836,-78.6528,0.4,PJM,,,0.4,yes,no,ST,NG,,,
Elkton,GEN6,Natural Gas Steam Turbine,NG,ST,38.3836,-78.6528,1.2,PJM,,,1.2,yes,no,ST,NG,,,
Elkton,GEN7,Natural Gas Steam Turbine,NG,ST,38.3836,-78.6528,1.2,PJM,,,1.2,yes,no,ST,NG,,,
Elkton,GEN8,Natural Gas Internal Combustion Engine,NG,IC,38.3836,-78.6528,2.0,PJM,,,2.0,yes,no,IC,NG,,,
I 95 Landfill Phase II,UNT1,Landfill Gas,LFG,IC,38.6892,-77.2375,0.8,PJM,,,0.8,yes,no,IC,LFG,,,
I 95 Landfill Phase II,UNT2,Landfill Gas,LFG,IC,38.6892,-77.2375,0.8,PJM,,,0.8,yes,no,IC,LFG,,,
I 95 Landfill Phase II,UNT3,Landfill Gas,LFG,IC,38.6892,-77.2375,0.8,PJM,,,0.8,yes,no,IC,LFG,,,
I 95 Landfill Phase II,UNT4,Landfill Gas,LFG,IC,38.6892,-77.2375,0.8,PJM,,,0.8,yes,no,IC,LFG,,,
Pretlow,1,Petroleum Liquids,DFO,IC,36.659167,-76.92667,1.6,PJM,,,1.6,yes,no,IC,DFO,,,
Pretlow,2,Petroleum Liquids,DFO,IC,36.659167,-76.92667,1.6,PJM,,,1.6,yes,no,IC,DFO,,,
Downtown,1,Petroleum Liquids,DFO,IC,36.680278,-76.92194,1.6,PJM,,,1.6,yes,no,IC,DFO,,,
Downtown,2,Petroleum Liquids,DFO,IC,36.680278,-76.92194,1.6,PJM,,,1.6,yes,no,IC,DFO,,,
Mount Clinton,D-2,Petroleum Liquids,DFO,IC,38.4681,-78.865,2.0,PJM,,,2.0,yes,no,IC,DFO,,,
Mount Clinton,D-3,Petroleum Liquids,DFO,IC,38.4681,-78.865,2.0,PJM,,,2.0,yes,no,IC,DFO,,,
Mount Clinton,D-5,Petroleum Liquids,DFO,IC,38.4681,-78.865,2.0,PJM,,,2.0,yes,no,IC,DFO,,,
Mount Clinton,D-7,Petroleum Liquids,DFO,IC,38.4681,-78.865,2.0,PJM,,,2.0,yes,no,IC,DFO,,,
Mount Clinton,D-8,Petroleum Liquids,DFO,IC,38.4681,-78.865,2.0,PJM,,,2.0,yes,no,IC,DFO,,,
Mount Clinton,MC-1,Petroleum Liquids,DFO,GT,38.4681,-78.865,14.0,PJM,,,14.0,yes,no,GT,DFO,,,
Pleasant Valley (VA),D-4,Petroleum Liquids,DFO,IC,38.4006,-78.8983,2.0,PJM,,,2.0,yes,no,IC,DFO,,,
Pleasant Valley (VA),D-6,Petroleum Liquids,DFO,IC,38.4006,-78.8983,2.0,PJM,,,2.0,yes,no,IC,DFO,,,
Pleasant Valley (VA),PV-1,Petroleum Liquids,DFO,GT,38.4006,-78.8983,16.5,PJM,,,16.5,yes,no,GT,DFO,,,
Salem Water Plant,1,Petroleum Liquids,DFO,IC,37.2875,-80.0771,2.0,PJM,,,2.0,yes,no,IC,DFO,,,
Salem Street Dept,1,Petroleum Liquids,DFO,IC,37.2794,-80.0447,1.8,PJM,,,1.8,yes,no,IC,DFO,,,
Danville Kentuck Road Plant,GEN 1,Petroleum Liquids,DFO,IC,36.66106,-79.2986,1.8,PJM,,,1.8,yes,no,IC,DFO,,,
Electric Avenue Facility,1,Petroleum Liquids,DFO,IC,38.28,-77.59,1.8,PJM,,,1.8,yes,no,IC,DFO,,,
Electric Avenue Facility,2,Petroleum Liquids,DFO,IC,38.28,-77.59,1.8,PJM,,,1.8,yes,no,IC,DFO,,,
Electric Avenue Facility,3,Petroleum Liquids,DFO,IC,38.28,-77.59,1.8,PJM,,,1.8,yes,no,IC,DFO,,,
Electric Avenue Facility,4,Petroleum Liquids,DFO,IC,38.28,-77.59,1.5,PJM,,,1.5,yes,no,IC,DFO,,,
Water Treatment Plant Generators,WP1,Petroleum Liquids,DFO,IC,38.760695,-77.62089,1.8,PJM,,,1.8,yes,no,IC,DFO,,,
Salem Electric Department,1,Petroleum Liquids,DFO,IC,37.2894,-80.07,1.3,PJM,,,1.3,yes,no,IC,DFO,,,
Waste Management Bethel LFGTE,GEN1,Landfill Gas,LFG,IC,37.076352,-76.44437,0.8,PJM,,,0.8,yes,no,IC,LFG,,,
Waste Management Bethel LFGTE,GEN2,Landfill Gas,LFG,IC,37.076352,-76.44437,0.8,PJM,,,0.8,yes,no,IC,LFG,,,
Waste Management Bethel LFGTE,GEN3,Landfill Gas,LFG,IC,37.076352,-76.44437,0.8,PJM,,,0.8,yes,no,IC,LFG,,,
Waste Management Bethel LFGTE,GEN4,Landfill Gas,LFG,IC,37.076352,-76.44437,0.8,PJM,,,0.8,yes,no,IC,LFG,,,
Waste Management Bethel LFGTE,GEN5,Landfill Gas,LFG,IC,37.076352,-76.44437,0.8,PJM,,,0.8,yes,no,IC,LFG,,,
Waste Management Bethel LFGTE,GEN6,Landfill Gas,LFG,IC,37.076352,-76.44437,0.8,PJM,,,0.8,yes,no,IC,LFG,,,
Brunswick Landfill Gas,10,Landfill Gas,LFG,IC,36.7639,-77.8108,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Brunswick Landfill Gas,11,Landfill Gas,LFG,IC,36.7639,-77.8108,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Brunswick Landfill Gas,12,Landfill Gas,LFG,IC,36.7639,-77.8108,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Brunswick Landfill Gas,13,Landfill Gas,LFG,IC,36.7639,-77.8108,0.3,PJM,,,0.3,yes,no,IC,LFG,,,10.5
Brunswick Landfill Gas,14,Landfill Gas,LFG,IC,36.7639,-77.8108,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Brunswick Landfill Gas,15,Landfill Gas,LFG,IC,36.7639,-77.8108,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Brunswick Landfill Gas,16,Landfill Gas,LFG,IC,36.7639,-77.8108,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Brunswick Landfill Gas,17,Landfill Gas,LFG,IC,36.7639,-77.8108,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Brunswick Landfill Gas,18,Landfill Gas,LFG,IC,36.7639,-77.8108,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Brunswick Landfill Gas,19,Landfill Gas,LFG,IC,36.7639,-77.8108,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Brunswick Landfill Gas,2,Landfill Gas,LFG,IC,36.7639,-77.8108,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Brunswick Landfill Gas,20,Landfill Gas,LFG,IC,36.7639,-77.8108,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Brunswick Landfill Gas,21,Landfill Gas,LFG,IC,36.7639,-77.8108,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Brunswick Landfill Gas,22,Landfill Gas,LFG,IC,36.7639,-77.8108,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Brunswick Landfill Gas,23,Landfill Gas,LFG,IC,36.7639,-77.8108,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Brunswick Landfill Gas,24,Landfill Gas,LFG,IC,36.7639,-77.8108,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Brunswick Landfill Gas,25,Landfill Gas,LFG,IC,36.7639,-77.8108,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Brunswick Landfill Gas,26,Landfill Gas,LFG,IC,36.7639,-77.8108,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Brunswick Landfill Gas,27,Landfill Gas,LFG,IC,36.7639,-77.8108,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Brunswick Landfill Gas,28,Landfill Gas,LFG,IC,36.7639,-77.8108,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Brunswick Landfill Gas,29,Landfill Gas,LFG,IC,36.7639,-77.8108,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Brunswick Landfill Gas,3,Landfill Gas,LFG,IC,36.7639,-77.8108,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Brunswick Landfill Gas,30,Landfill Gas,LFG,IC,36.7639,-77.8108,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Brunswick Landfill Gas,31,Landfill Gas,LFG,IC,36.7639,-77.8108,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Brunswick Landfill Gas,32,Landfill Gas,LFG,IC,36.7639,-77.8108,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Brunswick Landfill Gas,33,Landfill Gas,LFG,IC,36.7639,-77.8108,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Brunswick Landfill Gas,34,Landfill Gas,LFG,IC,36.7639,-77.8108,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Brunswick Landfill Gas,35,Landfill Gas,LFG,IC,36.7639,-77.8108,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Brunswick Landfill Gas,36,Landfill Gas,LFG,IC,36.7639,-77.8108,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Brunswick Landfill Gas,4,Landfill Gas,LFG,IC,36.7639,-77.8108,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Brunswick Landfill Gas,5,Landfill Gas,LFG,IC,36.7639,-77.8108,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Brunswick Landfill Gas,6,Landfill Gas,LFG,IC,36.7639,-77.8108,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Brunswick Landfill Gas,7,Landfill Gas,LFG,IC,36.7639,-77.8108,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Brunswick Landfill Gas,8,Landfill Gas,LFG,IC,36.7639,-77.8108,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Brunswick Landfill Gas,9,Landfill Gas,LFG,IC,36.7639,-77.8108,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Charles City,1,Landfill Gas,LFG,IC,37.438889,-77.12861,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Charles City,10,Landfill Gas,LFG,IC,37.438889,-77.12861,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Charles City,11,Landfill Gas,LFG,IC,37.438889,-77.12861,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Charles City,12,Landfill Gas,LFG,IC,37.438889,-77.12861,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Charles City,13,Landfill Gas,LFG,IC,37.438889,-77.12861,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Charles City,14,Landfill Gas,LFG,IC,37.438889,-77.12861,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Charles City,15,Landfill Gas,LFG,IC,37.438889,-77.12861,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Charles City,16,Landfill Gas,LFG,IC,37.438889,-77.12861,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Charles City,17,Landfill Gas,LFG,IC,37.438889,-77.12861,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Charles City,18,Landfill Gas,LFG,IC,37.438889,-77.12861,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Charles City,19,Landfill Gas,LFG,IC,37.438889,-77.12861,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Charles City,2,Landfill Gas,LFG,IC,37.438889,-77.12861,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Charles City,20,Landfill Gas,LFG,IC,37.438889,-77.12861,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Charles City,21,Landfill Gas,LFG,IC,37.438889,-77.12861,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Charles City,22,Landfill Gas,LFG,IC,37.438889,-77.12861,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Charles City,23,Landfill Gas,LFG,IC,37.438889,-77.12861,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Charles City,24,Landfill Gas,LFG,IC,37.438889,-77.12861,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Charles City,25,Landfill Gas,LFG,IC,37.438889,-77.12861,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Charles City,26,Landfill Gas,LFG,IC,37.438889,-77.12861,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Charles City,27,Landfill Gas,LFG,IC,37.438889,-77.12861,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Charles City,28,Landfill Gas,LFG,IC,37.438889,-77.12861,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Charles City,29,Landfill Gas,LFG,IC,37.438889,-77.12861,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Charles City,3,Landfill Gas,LFG,IC,37.438889,-77.12861,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Charles City,30,Landfill Gas,LFG,IC,37.438889,-77.12861,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Charles City,31,Landfill Gas,LFG,IC,37.438889,-77.12861,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Charles City,32,Landfill Gas,LFG,IC,37.438889,-77.12861,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Charles City,33,Landfill Gas,LFG,IC,37.438889,-77.12861,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Charles City,34,Landfill Gas,LFG,IC,37.438889,-77.12861,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Charles City,35,Landfill Gas,LFG,IC,37.438889,-77.12861,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Charles City,36,Landfill Gas,LFG,IC,37.438889,-77.12861,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Charles City,37,Landfill Gas,LFG,IC,37.438889,-77.12861,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Charles City,38,Landfill Gas,LFG,IC,37.438889,-77.12861,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Charles City,39,Landfill Gas,LFG,IC,37.438889,-77.12861,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Charles City,4,Landfill Gas,LFG,IC,37.438889,-77.12861,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Charles City,40,Landfill Gas,LFG,IC,37.438889,-77.12861,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Charles City,41,Landfill Gas,LFG,IC,37.438889,-77.12861,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Charles City,42,Landfill Gas,LFG,IC,37.438889,-77.12861,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Charles City,43,Landfill Gas,LFG,IC,37.438889,-77.12861,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Charles City,44,Landfill Gas,LFG,IC,37.438889,-77.12861,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Charles City,45,Landfill Gas,LFG,IC,37.438889,-77.12861,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Charles City,46,Landfill Gas,LFG,IC,37.438889,-77.12861,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Charles City,47,Landfill Gas,LFG,IC,37.438889,-77.12861,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Charles City,48,Landfill Gas,LFG,IC,37.438889,-77.12861,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Charles City,5,Landfill Gas,LFG,IC,37.438889,-77.12861,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Charles City,6,Landfill Gas,LFG,IC,37.438889,-77.12861,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Charles City,7,Landfill Gas,LFG,IC,37.438889,-77.12861,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Charles City,8,Landfill Gas,LFG,IC,37.438889,-77.12861,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Charles City,9,Landfill Gas,LFG,IC,37.438889,-77.12861,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Chesterfield Landfill Gas,1,Petroleum Liquids,DFO,IC,37.3517,-77.4969,0.3,PJM,,,0.3,yes,no,IC,DFO,,,
Chesterfield Landfill Gas,10,Petroleum Liquids,DFO,IC,37.3517,-77.4969,0.3,PJM,,,0.3,yes,no,IC,DFO,,,
Chesterfield Landfill Gas,11,Petroleum Liquids,DFO,IC,37.3517,-77.4969,0.3,PJM,,,0.3,yes,no,IC,DFO,,,
Chesterfield Landfill Gas,12,Petroleum Liquids,DFO,IC,37.3517,-77.4969,0.3,PJM,,,0.3,yes,no,IC,DFO,,,
Chesterfield Landfill Gas,13,Petroleum Liquids,DFO,IC,37.3517,-77.4969,0.3,PJM,,,0.3,yes,no,IC,DFO,,,
Chesterfield Landfill Gas,14,Petroleum Liquids,DFO,IC,37.3517,-77.4969,0.3,PJM,,,0.3,yes,no,IC,DFO,,,
Chesterfield Landfill Gas,15,Petroleum Liquids,DFO,IC,37.3517,-77.4969,0.3,PJM,,,0.3,yes,no,IC,DFO,,,
Chesterfield Landfill Gas,16,Petroleum Liquids,DFO,IC,37.3517,-77.4969,0.3,PJM,,,0.3,yes,no,IC,DFO,,,
Chesterfield Landfill Gas,17,Petroleum Liquids,DFO,IC,37.3517,-77.4969,0.3,PJM,,,0.3,yes,no,IC,DFO,,,
Chesterfield Landfill Gas,18,Petroleum Liquids,DFO,IC,37.3517,-77.4969,0.3,PJM,,,0.3,yes,no,IC,DFO,,,
Chesterfield Landfill Gas,19,Petroleum Liquids,DFO,IC,37.3517,-77.4969,0.3,PJM,,,0.3,yes,no,IC,DFO,,,
Chesterfield Landfill Gas,2,Petroleum Liquids,DFO,IC,37.3517,-77.4969,0.3,PJM,,,0.3,yes,no,IC,DFO,,,
Chesterfield Landfill Gas,20,Petroleum Liquids,DFO,IC,37.3517,-77.4969,0.3,PJM,,,0.3,yes,no,IC,DFO,,,
Chesterfield Landfill Gas,21,Petroleum Liquids,DFO,IC,37.3517,-77.4969,0.3,PJM,,,0.3,yes,no,IC,DFO,,,
Chesterfield Landfill Gas,22,Petroleum Liquids,DFO,IC,37.3517,-77.4969,0.3,PJM,,,0.3,yes,no,IC,DFO,,,
Chesterfield Landfill Gas,23,Petroleum Liquids,DFO,IC,37.3517,-77.4969,0.3,PJM,,,0.3,yes,no,IC,DFO,,,
Chesterfield Landfill Gas,24,Petroleum Liquids,DFO,IC,37.3517,-77.4969,0.3,PJM,,,0.3,yes,no,IC,DFO,,,
Chesterfield Landfill Gas,25,Petroleum Liquids,DFO,IC,37.3517,-77.4969,0.3,PJM,,,0.3,yes,no,IC,DFO,,,
Chesterfield Landfill Gas,26,Petroleum Liquids,DFO,IC,37.3517,-77.4969,0.3,PJM,,,0.3,yes,no,IC,DFO,,,
Chesterfield Landfill Gas,27,Petroleum Liquids,DFO,IC,37.3517,-77.4969,0.3,PJM,,,0.3,yes,no,IC,DFO,,,
Chesterfield Landfill Gas,28,Petroleum Liquids,DFO,IC,37.3517,-77.4969,0.3,PJM,,,0.3,yes,no,IC,DFO,,,
Chesterfield Landfill Gas,29,Petroleum Liquids,DFO,IC,37.3517,-77.4969,0.3,PJM,,,0.3,yes,no,IC,DFO,,,
Chesterfield Landfill Gas,3,Petroleum Liquids,DFO,IC,37.3517,-77.4969,0.3,PJM,,,0.3,yes,no,IC,DFO,,,
Chesterfield Landfill Gas,30,Petroleum Liquids,DFO,IC,37.3517,-77.4969,0.3,PJM,,,0.3,yes,no,IC,DFO,,,
Chesterfield Landfill Gas,31,Petroleum Liquids,DFO,IC,37.3517,-77.4969,0.3,PJM,,,0.3,yes,no,IC,DFO,,,
Chesterfield Landfill Gas,32,Petroleum Liquids,DFO,IC,37.3517,-77.4969,0.3,PJM,,,0.3,yes,no,IC,DFO,,,
Chesterfield Landfill Gas,33,Petroleum Liquids,DFO,IC,37.3517,-77.4969,0.3,PJM,,,0.3,yes,no,IC,DFO,,,
Chesterfield Landfill Gas,34,Petroleum Liquids,DFO,IC,37.3517,-77.4969,0.3,PJM,,,0.3,yes,no,IC,DFO,,,
Chesterfield Landfill Gas,35,Petroleum Liquids,DFO,IC,37.3517,-77.4969,0.3,PJM,,,0.3,yes,no,IC,DFO,,,
