plant,generator ID,technology,energy_source,prime_mover,lat,lon,nameplate_capacity,ba,EI gen,EI Bus,Capacity Change,Generator Add,Generator twin,prime_mover_1,energy_source ,Column17,Column18,Column19
Chesterfield Landfill Gas,36,Petroleum Liquids,DFO,IC,37.3517,-77.4969,0.3,PJM,,,0.3,yes,no,IC,DFO,,,
Chesterfield Landfill Gas,37,Petroleum Liquids,DFO,IC,37.3517,-77.4969,0.3,PJM,,,0.3,yes,no,IC,DFO,,,
Chesterfield Landfill Gas,38,Petroleum Liquids,DFO,IC,37.3517,-77.4969,0.3,PJM,,,0.3,yes,no,IC,DFO,,,
Chesterfield Landfill Gas,39,Petroleum Liquids,DFO,IC,37.3517,-77.4969,0.3,PJM,,,0.3,yes,no,IC,DFO,,,
Chesterfield Landfill Gas,4,Petroleum Liquids,DFO,IC,37.3517,-77.4969,0.3,PJM,,,0.3,yes,no,IC,DFO,,,
Chesterfield Landfill Gas,40,Petroleum Liquids,DFO,IC,37.3517,-77.4969,0.3,PJM,,,0.3,yes,no,IC,DFO,,,
Chesterfield Landfill Gas,41,Petroleum Liquids,DFO,IC,37.3517,-77.4969,0.3,PJM,,,0.3,yes,no,IC,DFO,,,
Chesterfield Landfill Gas,42,Petroleum Liquids,DFO,IC,37.3517,-77.4969,0.3,PJM,,,0.3,yes,no,IC,DFO,,,
Chesterfield Landfill Gas,43,Petroleum Liquids,DFO,IC,37.3517,-77.4969,0.3,PJM,,,0.3,yes,no,IC,DFO,,,
Chesterfield Landfill Gas,44,Petroleum Liquids,DFO,IC,37.3517,-77.4969,0.3,PJM,,,0.3,yes,no,IC,DFO,,,
Chesterfield Landfill Gas,45,Petroleum Liquids,DFO,IC,37.3517,-77.4969,0.3,PJM,,,0.3,yes,no,IC,DFO,,,
Chesterfield Landfill Gas,46,Petroleum Liquids,DFO,IC,37.3517,-77.4969,0.3,PJM,,,0.3,yes,no,IC,DFO,,,
Chesterfield Landfill Gas,47,Petroleum Liquids,DFO,IC,37.3517,-77.4969,0.3,PJM,,,0.3,yes,no,IC,DFO,,,
Chesterfield Landfill Gas,48,Petroleum Liquids,DFO,IC,37.3517,-77.4969,0.3,PJM,,,0.3,yes,no,IC,DFO,,,
Chesterfield Landfill Gas,5,Petroleum Liquids,DFO,IC,37.3517,-77.4969,0.3,PJM,,,0.3,yes,no,IC,DFO,,,
Chesterfield Landfill Gas,6,Petroleum Liquids,DFO,IC,37.3517,-77.4969,0.3,PJM,,,0.3,yes,no,IC,DFO,,,
Chesterfield Landfill Gas,7,Petroleum Liquids,DFO,IC,37.3517,-77.4969,0.3,PJM,,,0.3,yes,no,IC,DFO,,,
Chesterfield Landfill Gas,8,Petroleum Liquids,DFO,IC,37.3517,-77.4969,0.3,PJM,,,0.3,yes,no,IC,DFO,,,
Chesterfield Landfill Gas,9,Petroleum Liquids,DFO,IC,37.3517,-77.4969,0.3,PJM,,,0.3,yes,no,IC,DFO,,,
King & Queen,1,Landfill Gas,LFG,IC,37.6711,-76.76,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
King & Queen,10,Landfill Gas,LFG,IC,37.6711,-76.76,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
King & Queen,11,Landfill Gas,LFG,IC,37.6711,-76.76,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
King & Queen,12,Landfill Gas,LFG,IC,37.6711,-76.76,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
King & Queen,13,Landfill Gas,LFG,IC,37.6711,-76.76,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
King & Queen,14,Landfill Gas,LFG,IC,37.6711,-76.76,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
King & Queen,15,Landfill Gas,LFG,IC,37.6711,-76.76,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
King & Queen,16,Landfill Gas,LFG,IC,37.6711,-76.76,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
King & Queen,17,Landfill Gas,LFG,IC,37.6711,-76.76,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
King & Queen,18,Landfill Gas,LFG,IC,37.6711,-76.76,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
King & Queen,19,Landfill Gas,LFG,IC,37.6711,-76.76,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
King & Queen,2,Landfill Gas,LFG,IC,37.6711,-76.76,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
King & Queen,20,Landfill Gas,LFG,IC,37.6711,-76.76,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
King & Queen,21,Landfill Gas,LFG,IC,37.6711,-76.76,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
King & Queen,22,Landfill Gas,LFG,IC,37.6711,-76.76,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
King & Queen,23,Landfill Gas,LFG,IC,37.6711,-76.76,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
King & Queen,24,Landfill Gas,LFG,IC,37.6711,-76.76,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
King & Queen,25,Landfill Gas,LFG,IC,37.6711,-76.76,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
King & Queen,26,Landfill Gas,LFG,IC,37.6711,-76.76,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
King & Queen,27,Landfill Gas,LFG,IC,37.6711,-76.76,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
King & Queen,28,Landfill Gas,LFG,IC,37.6711,-76.76,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
King & Queen,29,Landfill Gas,LFG,IC,37.6711,-76.76,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
King & Queen,3,Landfill Gas,LFG,IC,37.6711,-76.76,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
King & Queen,30,Landfill Gas,LFG,IC,37.6711,-76.76,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
King & Queen,31,Landfill Gas,LFG,IC,37.6711,-76.76,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
King & Queen,32,Landfill Gas,LFG,IC,37.6711,-76.76,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
King & Queen,33,Landfill Gas,LFG,IC,37.6711,-76.76,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
King & Queen,34,Landfill Gas,LFG,IC,37.6711,-76.76,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
King & Queen,35,Landfill Gas,LFG,IC,37.6711,-76.76,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
King & Queen,36,Landfill Gas,LFG,IC,37.6711,-76.76,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
King & Queen,4,Landfill Gas,LFG,IC,37.6711,-76.76,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
King & Queen,5,Landfill Gas,LFG,IC,37.6711,-76.76,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
King & Queen,6,Landfill Gas,LFG,IC,37.6711,-76.76,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
King & Queen,7,Landfill Gas,LFG,IC,37.6711,-76.76,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
King & Queen,8,Landfill Gas,LFG,IC,37.6711,-76.76,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
King & Queen,9,Landfill Gas,LFG,IC,37.6711,-76.76,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Virginia Tech Power Plant,WG01,Natural Gas Steam Turbine,NG,ST,37.2319,-80.4211,6.3,PJM,,,0.3,yes,no,ST,NG,,,
Waste Management Middle Peninsula LFGTE,GEN1,Landfill Gas,LFG,IC,37.519714,-76.62451,0.8,PJM,,,0.8,yes,no,IC,LFG,,,
Waste Management Middle Peninsula LFGTE,GEN2,Landfill Gas,LFG,IC,37.519714,-76.62451,0.8,PJM,,,0.8,yes,no,IC,LFG,,,
Waste Management Middle Peninsula LFGTE,GEN3,Landfill Gas,LFG,IC,37.519714,-76.62451,0.8,PJM,,,0.8,yes,no,IC,LFG,,,
Waste Management Middle Peninsula LFGTE,GEN4,Landfill Gas,LFG,IC,37.519714,-76.62451,0.8,PJM,,,0.8,yes,no,IC,LFG,,,
Waste Management Middle Peninsula LFGTE,GEN5,Landfill Gas,LFG,IC,37.519714,-76.62451,0.8,PJM,,,0.8,yes,no,IC,LFG,,,
Waste Management Middle Peninsula LFGTE,GEN6,Landfill Gas,LFG,IC,37.519714,-76.62451,0.8,PJM,,,0.8,yes,no,IC,LFG,,,
Waste Management Middle Peninsula LFGTE,GEN7,Landfill Gas,LFG,IC,37.519714,-76.62451,0.8,PJM,,,0.8,yes,no,IC,LFG,,,
Waste Management Middle Peninsula LFGTE,GEN8,Landfill Gas,LFG,IC,37.519714,-76.62451,0.8,PJM,,,0.8,yes,no,IC,LFG,,,
Waste Management King George LFGTE,GEN1,Landfill Gas,LFG,GT,38.2747,-77.3081,3.3,PJM,,,3.3,yes,no,GT,LFG,,,
Waste Management King George LFGTE,GEN2,Landfill Gas,LFG,GT,38.2747,-77.3081,3.3,PJM,,,3.3,yes,no,GT,LFG,,,
Waste Management King George LFGTE,GEN3,Landfill Gas,LFG,GT,38.2747,-77.3081,3.3,PJM,,,3.3,yes,no,GT,LFG,,,
Waste Management King George LFGTE,GEN4,Landfill Gas,LFG,GT,38.2747,-77.3081,3.3,PJM,,,3.3,yes,no,GT,LFG,,,
Henrico,1,Landfill Gas,LFG,IC,37.6788,-77.5678,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Henrico,10,Landfill Gas,LFG,IC,37.6788,-77.5678,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Henrico,11,Landfill Gas,LFG,IC,37.6788,-77.5678,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Henrico,12,Landfill Gas,LFG,IC,37.6788,-77.5678,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Henrico,2,Landfill Gas,LFG,IC,37.6788,-77.5678,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Henrico,3,Landfill Gas,LFG,IC,37.6788,-77.5678,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Henrico,4,Landfill Gas,LFG,IC,37.6788,-77.5678,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Henrico,5,Landfill Gas,LFG,IC,37.6788,-77.5678,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Henrico,6,Landfill Gas,LFG,IC,37.6788,-77.5678,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Henrico,7,Landfill Gas,LFG,IC,37.6788,-77.5678,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Henrico,8,Landfill Gas,LFG,IC,37.6788,-77.5678,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Henrico,9,Landfill Gas,LFG,IC,37.6788,-77.5678,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
Frederick County LFGTE Facility,1,Landfill Gas,LFG,IC,39.140833,-78.0975,1.0,PJM,,,1.0,yes,no,IC,LFG,,,
Frederick County LFGTE Facility,2,Landfill Gas,LFG,IC,39.140833,-78.0975,1.0,PJM,,,1.0,yes,no,IC,LFG,,,
Martinsville LFG Generator,LFG1,Natural Gas Internal Combustion Engine,NG,IC,36.717222,-79.84528,1.1,PJM,,,1.1,yes,no,IC,NG,,,
Richmond Energy,UNT1,Landfill Gas,LFG,IC,37.505833,-77.37389,1.6,PJM,,,1.6,yes,no,IC,LFG,,,
Richmond Energy,UNT2,Landfill Gas,LFG,IC,37.505833,-77.37389,1.6,PJM,,,1.6,yes,no,IC,LFG,,,
Richmond Energy,UNT3,Landfill Gas,LFG,IC,37.505833,-77.37389,1.6,PJM,,,1.6,yes,no,IC,LFG,,,
Richmond Energy,UNT4,Landfill Gas,LFG,IC,37.505833,-77.37389,1.6,PJM,,,1.6,yes,no,IC,LFG,,,
Molson Coors Shenandoah Brewery,WWTP,Other Waste Biomass,OBG,GT,38.356944,-78.67667,1.4,PJM,,,1.4,yes,no,GT,OBG,,,
Monterey Diesel Generation Facility,MDG1,Petroleum Liquids,DFO,IC,38.421389,-79.59139,0.6,PJM,,,0.6,yes,no,IC,DFO,,,
Monterey Diesel Generation Facility,MDG10,Petroleum Liquids,DFO,IC,38.421389,-79.59139,0.6,PJM,,,0.6,yes,no,IC,DFO,,,
Monterey Diesel Generation Facility,MDG2,Petroleum Liquids,DFO,IC,38.421389,-79.59139,0.6,PJM,,,0.6,yes,no,IC,DFO,,,
Monterey Diesel Generation Facility,MDG3,Petroleum Liquids,DFO,IC,38.421389,-79.59139,0.6,PJM,,,0.6,yes,no,IC,DFO,,,
Monterey Diesel Generation Facility,MDG4,Petroleum Liquids,DFO,IC,38.421389,-79.59139,0.6,PJM,,,0.6,yes,no,IC,DFO,,,
Monterey Diesel Generation Facility,MDG5,Petroleum Liquids,DFO,IC,38.421389,-79.59139,0.6,PJM,,,0.6,yes,no,IC,DFO,,,
Monterey Diesel Generation Facility,MDG6,Petroleum Liquids,DFO,IC,38.421389,-79.59139,0.6,PJM,,,0.6,yes,no,IC,DFO,,,
Monterey Diesel Generation Facility,MDG7,Petroleum Liquids,DFO,IC,38.421389,-79.59139,0.6,PJM,,,0.6,yes,no,IC,DFO,,,
Monterey Diesel Generation Facility,MDG8,Petroleum Liquids,DFO,IC,38.421389,-79.59139,0.6,PJM,,,0.6,yes,no,IC,DFO,,,
Monterey Diesel Generation Facility,MDG9,Petroleum Liquids,DFO,IC,38.421389,-79.59139,0.6,PJM,,,0.6,yes,no,IC,DFO,,,
New River,E1,Landfill Gas,LFG,IC,37.183,-80.699,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
New River,E10,Landfill Gas,LFG,IC,37.183,-80.699,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
New River,E11,Landfill Gas,LFG,IC,37.183,-80.699,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
New River,E12,Landfill Gas,LFG,IC,37.183,-80.699,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
New River,E13,Landfill Gas,LFG,IC,37.183,-80.699,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
New River,E14,Landfill Gas,LFG,IC,37.183,-80.699,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
New River,E15,Landfill Gas,LFG,IC,37.183,-80.699,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
New River,E16,Landfill Gas,LFG,IC,37.183,-80.699,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
New River,E17,Landfill Gas,LFG,IC,37.183,-80.699,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
New River,E18,Landfill Gas,LFG,IC,37.183,-80.699,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
New River,E2,Landfill Gas,LFG,IC,37.183,-80.699,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
New River,E3,Landfill Gas,LFG,IC,37.183,-80.699,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
New River,E4,Landfill Gas,LFG,IC,37.183,-80.699,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
New River,E5,Landfill Gas,LFG,IC,37.183,-80.699,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
New River,E6,Landfill Gas,LFG,IC,37.183,-80.699,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
New River,E7,Landfill Gas,LFG,IC,37.183,-80.699,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
New River,E8,Landfill Gas,LFG,IC,37.183,-80.699,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
New River,E9,Landfill Gas,LFG,IC,37.183,-80.699,0.3,PJM,,,0.3,yes,no,IC,LFG,,,
HP Hood CT,HHOOD,Natural Gas Fired Combustion Turbine,NG,GT,39.132519,-78.18747,15.0,PJM,,,15.0,yes,no,GT,NG,,,
Belle Haven Diesel Generation Facility,BDG10,Petroleum Liquids,DFO,IC,37.54864,-75.79082,2.0,PJM,,,2.0,yes,no,IC,DFO,,,
Belle Haven Diesel Generation Facility,BDG9,Petroleum Liquids,DFO,IC,37.54864,-75.79082,2.0,PJM,,,2.0,yes,no,IC,DFO,,,
Perdue Diesel Generation Facility,PDG5,Petroleum Liquids,DFO,IC,37.741967,-75.65598,2.0,PJM,,,2.0,yes,no,IC,DFO,,,
Perdue Diesel Generation Facility,PDG6,Petroleum Liquids,DFO,IC,37.741967,-75.65598,2.0,PJM,,,2.0,yes,no,IC,DFO,,,
Onancock Diesel Generation Facility,ODG7,Petroleum Liquids,DFO,IC,37.74542,-75.72049,2.0,PJM,,,2.0,yes,no,IC,DFO,,,
Onancock Diesel Generation Facility,ODG8,Petroleum Liquids,DFO,IC,37.74542,-75.72049,2.0,PJM,,,2.0,yes,no,IC,DFO,,,
Orange Street G1,1,Petroleum Liquids,DFO,IC,37.33206,-79.51109,1.8,PJM,,,1.8,yes,no,IC,DFO,,,
Orange Street G1,P1,Petroleum Liquids,DFO,IC,37.33206,-79.51109,0.6,PJM,,,0.6,yes,no,IC,DFO,,,
Orange Street G1,P2,Petroleum Liquids,DFO,IC,37.33206,-79.51109,0.6,PJM,,,0.6,yes,no,IC,DFO,,,
Orange Street G1,P3,Petroleum Liquids,DFO,IC,37.33206,-79.51109,0.6,PJM,,,0.6,yes,no,IC,DFO,,,
Orange Street G1,P4,Petroleum Liquids,DFO,IC,37.33206,-79.51109,0.6,PJM,,,0.6,yes,no,IC,DFO,,,
Orange Street G1,P5,Petroleum Liquids,DFO,IC,37.33206,-79.51109,0.6,PJM,,,0.6,yes,no,IC,DFO,,,
